sys.exec.out.time {s},crewModule.dyn.position[0] {m},crewModule.dyn.position[1] {m},crewModule.dyn.position[2] {m},crewModule.dyn.center_of_buoyancy[0] {1},crewModule.dyn.center_of_buoyancy[1] {1},crewModule.dyn.center_of_buoyancy[2] {1},crewModule.dyn.R[0][0] {--},crewModule.dyn.R[0][1] {--},crewModule.dyn.R[0][2] {--},crewModule.dyn.R[1][0] {--},crewModule.dyn.R[1][1] {--},crewModule.dyn.R[1][2] {--},crewModule.dyn.R[2][0] {--},crewModule.dyn.R[2][1] {--},crewModule.dyn.R[2][2] {--}
3.5,0,0,   1.343484708342491,0.001291585,  0.7264579256360486,-0.341437645,  0.9999996124507664,-0.000672288,-0.000568442,-0.000180005,  0.4758979884613198,-0.879500467,0.000861798,  0.8795002288838846,  0.4758976829673838
3.6,0,0,   1.512800255862089,3.522456659589794e-16,   1.019840566873355,-0.257848062,  0.9999995996038666,-0.000576592,-0.000684349,-0.000197511,  0.6036740129452022,-0.797231238,0.000872801,0.797231054,  0.6036736573144242
3.7,0,0,   1.594659516798566,0.001292407,   1.309693053311793,-0.103670941,  0.9999995855266501,-0.00046282,-0.000784056,-0.000211724,  0.7193419446654611,-0.694656118,0.000885505,  0.6946559957579123,0.719341548
3.8,0,0,   1.583556260690769,9.618422130192825e-16,   1.680000000000001,-0.038485303,  0.9999995715794499,-0.000335125,-0.000862863,-0.000222597,  0.8177472000825053,-0.575577508,0.000898494,  0.5755774530404014,  0.8177467751184625
3.9,0,0,   1.476561265704859,0,0,   1.476140305766315,  0.9999995580442511,-0.000199795,-0.000918691,-0.000230354,  0.8953060839637307,-0.445451415,0.000911509,  0.4454514295625413,  0.8953056422342884
4,0,0,1.274283117,0,0,1.27411424,  0.9999995442067883,-6.14E-05,-0.000952791,-0.000235932,  0.9510768940462196,-0.308954181,0.000925161,  0.3089542649587306,0.951076446
4.1,0,0,  0.9787572571918075,0,0,  0.9785928696606518,  0.9999995303990101,7.661311199100883e-05,-0.000966091,-0.000239376,  0.9855087067372612,-0.169624679,0.000939096,  0.1696248303624267,  0.9855082622734197
4.2,0,0,  0.5931946295482746,0.005413732,  0.1578345070422637,-0.076182736,  0.9999995181265462,0.000211744,-0.000958599,-0.000240715,0.999540108,-0.030323499,0.000951737,0.030323715,  0.9995396773148975
4.3,0,0,  0.1477852395828296,0.000291758,-0.29589455,-0.28041446,  0.9999995676857011,0.000336972,-0.000866648,-0.000244299,  0.9944941616392878,  0.1047917113907762,0.000897188,-0.104791454,  0.9944938140307333
4.4,0,0,-0.283843854,0.000781723,-0.249303115,-0.537584849,0.999999662,0.000430113,-0.000701249,-0.000264574,  0.9752941520121601,0.220910043,0.00077894,-0.220909783,  0.9752939358013768
4.5,0,0,-0.627385826,0.000102977,-0.18458921,-0.716252897,  0.9999997657762895,0.000486135,-0.000481789,-0.000312534,  0.9505848711171617,  0.3104646600167205,0.000608909,-0.310464437,0.9505848
4.6,0,0,-0.826604879,-1.61E-05,-0.181209999,-0.844106861,  0.9999998365754621,0.000511686,-0.000255004,-0.000379126,  0.9273812706577439,0.374117408,0.000427916,-0.37411725,  0.9273813130967514
4.7,0,0,-0.856851673,-0.00021441,-0.210303815,-0.890321697,  0.9999998643097604,0.000518373,-5.17E-05,-0.000451034,  0.9111703704291393,  0.4120295530898688,0.00026067,-0.412029474,  0.9111704805963663
4.8,0,0,-0.720871265,-0.000391415,-0.248638651,-0.805114495,0.99999986,0.000518371,0.000101697,-0.000512728,  0.9061245779392321,0.423010622,0.000127126,-0.423010615,  0.9061247172979217
4.9,0,0,-0.440574338,-0.000274725,-0.351405325,-0.678771434,  0.9999998474884193,0.000521479,0.000181888,-0.00055046,  0.9143040242249021,  0.4050282067613615,4.491306879250844e-05,-0.405028245,  0.9143041718403091
5,0,0,-0.063527646,-0.000404355,-0.525863142,-0.508969828,  0.9999998378297255,0.000532265,0.000202569,-0.000569509,  0.9350631666439043,  0.3544806765365547,-7.37E-07,-0.354480734,  0.9350633181384955
5.1,0,0,  0.3457910464385787,3.164329678438764e-15,-0.759077853,-0.288293446,  0.9999998336449878,0.000549327,0.000175924,-0.000576432,  0.9627705053838457,  0.2703194807666578,-2.09E-05,-0.270319537,0.962770662
5.2,0,0,  0.7201194155174022,2.39794264274947e-16,-0.840427928,-0.114340908,0.999999832,0.000566295,0.000125432,-0.000579106,  0.9869351939781051,  0.1611166891400032,-3.26E-05,-0.161116735,  0.9869353559111173
5.3,0,0,   1.005083439430861,0,0,   1.003513231565549,  0.9999998307713296,0.000577605,6.94930588334143e-05,-0.000580186,0.99894623,0.045892178,-4.29E-05,-0.045892211,  0.9989463965349381
5.4,0,0,   1.186754782854053,0,0,1.186567474,  0.9999998303470202,0.000582329,1.408757383985125e-05,-0.000580079,  0.9977554799871819,-0.06696018,-5.30E-05,0.06696016,  0.9977556485112016
5.5,0,0,1.266965684,0,0,   1.266786804361149,  0.9999998304751334,0.000580903,-4.00E-05,-0.000578879,  0.9843913547653371,-0.175992402,-6.28E-05,  0.1759923953326062,  0.9843915241566702
5.6,0,0,   1.247886381276377,0,0,   1.247711344886085,  0.9999998311110068,0.000573824,-9.22E-05,-0.000576686,  0.9599750212780039,-0.280085033,-7.22E-05,  0.2800850393158833,  0.9599751900611307
5.7,0,0,   1.131640710500815,1.158868925873656e-15,   1.671226415094339,-0.068530582,  0.9999998322072405,0.000561619,-0.000142019,-0.000573604,0.925669189,-0.378333481,-8.10E-05,  0.3783334989591076,  0.9256693561919558
5.8,0,0,  0.9245421761516733,4.20878481717642e-15,   1.299525566684312,-0.206774617,0.999999834,0.000545437,-0.00018729,-0.000569748,  0.8841334855582256,-0.467234047,-8.93E-05,  0.4672340764679649,  0.8841336492917544
5.9,0,0,  0.6466538922020252,-0.000422535,   1.000804828973847,-0.341619513,  0.9999998351054484,0.000528626,-0.000224373,-0.000566322,  0.8429815811890771,-0.537942128,-9.52E-05,  0.5379421663435148,  0.8429817415520349
6,0,0,  0.3326474268323867,-0.00010781,  0.8046837565883258,-0.487251226,0.999999835,0.000516014,-0.000252083,-0.000566355,  0.8133463259604331,-0.58177954,-9.52E-05,  0.5817795869366025,  0.8133464840728977
6.1,0,0,0.021794061,-0.000192436,  0.6629936412316556,-0.618618764,  0.9999998310419995,0.000512205,-0.000274886,-0.000575354,  0.8046164438161905,-0.593794617,-8.30E-05,  0.5937946749398302,  0.8046166025613146
6.2,0,0,-0.246657124,-0.000411184,  0.5365953947369513,-0.68903353,  0.9999998161980099,0.000520568,-0.000310826,-0.000604855,  0.8211204564368627,-0.570754615,-4.19E-05,  0.5707546977729642,  0.8211206203724654
6.3,0,0,-0.436545734,-0.000527052,  0.4284285253307561,-0.728191292,  0.9999997847584534,0.000545287,-0.000364891,-0.000655114,  0.8604856574266542,-0.509474243,3.61739072721203e-05,  0.5094743722950129,  0.8604858294304769
6.4,0,0,-0.521968492,-8.32E-05,  0.3121045930858589,-0.702934812,  0.9999997394091156,0.000590273,-0.000415644,-0.00070863,  0.9125726557529942,-0.408913983,0.000137934,  0.4089141713734321,  0.9125728362219686
6.5,0,0,-0.486056418,-0.000149008,  0.2199105950056463,-0.662489032,  0.9999996893929796,0.000652352,-0.000442325,-0.000748503,  0.9618182010622979,-0.273688122,0.000246895,  0.2736883675688472,  0.9618183905975298
6.6,0,0,-0.333665204,-0.000286688,0.099356304,-0.516766242,0.999999629,0.000725559,-0.000465131,-0.000774136,  0.9933952007233132,-0.114740472,0.000378808,  0.1147407893676481,  0.9933953934650704
6.7,0,0,-0.084269314,0.00053286,-0.082608052,-0.400622003,  0.9999995536667307,0.000805939,-0.000493081,-0.000779057,  0.9986319464014792,0.052284115,0.000534544,-0.052283708,  0.9986321285512179
6.8,0,0,  0.2124539679039164,0.000623172,-0.586074018,-0.324687973,  0.9999994941999449,0.000883199,-0.000481206,-0.000764744,  0.9784304704912463,  0.2065749974838207,0.000653273,-0.206574525,  0.9784306510199958
6.9,0,0,  0.4982566457661282,0.002223013,-0.883852036,-0.22817391,  0.9999994608061781,0.000942543,-0.00043589,-0.000745822,  0.9439452695395641,  0.3301011539975361,0.000722591,-0.330100651,  0.9439454635356765
7,0,0,  0.7375631133831402,0.000960922,-1.147469571,-0.240180331,  0.9999994559573628,0.000982118,-0.000351468,-0.000741568,  0.9063096659588453,  0.4226135817445095,0.000733595,-0.422613091,  0.9063099011901959
7.1,0,0,  0.9079754811410516,0.001890359,-1.273534972,-0.245976842,  0.9999994617715841,0.001005816,-0.000254539,-0.000750408,  0.8705827675380133,  0.4920214240893209,0.00071648,-0.492020968,  0.8705830537330956
7.2,0,0,   1.002337652982992,0.001895991,-1.285482124,-0.252313624,  0.9999994694500542,0.00101838,-0.000154925,-0.000770457,  0.8392664142431279,  0.5437198656766532,0.000683737,-0.543719458,  0.8392667535811814
7.3,0,0,   1.019176964892257,0.001083883,-1.220735156,-0.261069206,  0.9999994748810528,0.001023193,-5.76E-05,-0.000799368,  0.8139351252353879,  0.5809552245480414,0.000641286,-0.580954873,0.813935516
7.4,0,0,  0.9620646473305321,-0.000336247,-1.122461332,-0.269518455,  0.9999994756636145,0.001023741,2.502393296883019e-05,-0.00083056,  0.7965191495488448,  0.6046127310797732,0.000599035,-0.604612435,  0.7965195821761452
7.5,0,0,  0.8393422395485713,0.002051552,-1.05081536,-0.330854476,  0.9999994724758856,0.001023184,9.022993919967361e-05,-0.000863351,0.78968482,  0.6135121353171046,0.000556483,-0.61351189,0.789685286
7.6,0,0,  0.6627194669771608,0.000444362,-0.947454175,-0.369514301,  0.9999994632722153,0.001024592,0.000153837,-0.000908759,  0.7960804647034055,  0.6051901088805812,0.000497607,-0.605189924,  0.7960809685248238
7.7,0,0,  0.4507576766585903,0.000443152,-0.857997507,-0.430912807,  0.9999994469219475,0.001031561,0.00020503,-0.000962017,  0.8183552651787925,  0.5747118708443697,0.000425063,-0.57471175,  0.8183558049364497
7.8,0,0,  0.2234924814397072,0.000360301,-0.762419478,-0.493372355,  0.9999994241907874,0.001047164,0.00023466,-0.001018029,  0.8565209258719404,  0.5161112933990043,0.000339462,-0.516111235,0.856521499
7.9,0,0,0.002233276,-0.00048981,-0.630796816,-0.534253453,  0.9999993992042675,0.001071649,0.000230566,-0.001068551,0.906076054,  0.4231135095885196,0.000244519,-0.423113502,  0.9060766550591766
8,0,0,-0.18543752,-0.000412258,-0.400707709,-0.525841259,0.999999381,0.001099987,0.000169717,-0.001101614,  0.9564338955873793,  0.2919468955690279,0.000158815,-0.291946902,  0.9564345149375854
8.1,0,0,-0.30645466,-0.00014086,-0.112471557,-0.489075682,0.999999372,0.001119116,5.688908543796322e-05,-0.001117073,  0.9915975550997094,  0.1293562556479124,8.835359703330428e-05,-0.129356238,  0.9915981826770277
   8.199999999999999,0,0,-0.330658092,-0.000798877,0.034524452,-0.504866565,  0.9999993721110139,0.001116546,-9.54E-05,-0.001119676,  0.9990177428477107,-0.044297808,4.585732267478477e-05,0.044297887,  0.9990183657461534
   8.300000000000001,0,0,-0.255810085,-0.000314694,  0.2317296054224588,-0.507039551,  0.9999993690628662,0.001084937,-0.000291181,-0.001121788,  0.9780782349982298,-0.208234742,5.887675811461953e-05,  0.2082349373556504,  0.9780788349648838
8.4,0,0,-0.105584238,-0.000361337,0.451566952,-0.482361486,  0.9999993555509488,0.001031393,-0.000474475,-0.001131552,  0.9393973754404292,-0.342828369,9.212997712980598e-05,  0.3428286849792216,  0.9393979371277407
8.5,0,0,0.093550938,-2.62E-05,0.637117904,-0.455882432,  0.9999993284914676,0.000975544,-0.000625565,-0.001150776,  0.8996504983661907,-0.436609272,0.000136858,  0.4366096988201593,  0.8996510168839899
8.6,0,0,  0.3099032222397733,-0.000242594,  0.8274259448415755,-0.460781465,  0.9999992922605712,0.000934016,-0.000736948,-0.001175465,  0.8713027386969968,-0.490744491,0.000183741,0.49074501,  0.8713032199544926
   8.699999999999999,0,0,  0.5082996864793992,0.000592851,0.942406277,-0.39830935,0.999999257,0.000914854,-0.000805955,-0.001198582,  0.8587864360592221,-0.512332334,0.000223434,  0.5123329193817202,  0.8587868942948207
   8.800000000000001,0,0,  0.6702573211342325,0.000807823,   1.015093537414989,-0.29668617,  0.9999992315908882,0.000919685,-0.000831262,-0.001214274,  0.8617330131454443,-0.507360562,0.000249714,  0.5073611812452247,  0.8617334677415478
8.9,0,0,  0.7819538874793365,0.001308828,   1.115065441381322,-0.233657479,  0.9999992174213284,0.000945503,-0.000819256,-0.001222776,  0.8771348638192166,-0.48024258,0.000264528,  0.4802432057791383,  0.8771353335405419
9,0,0,  0.8291621806701546,0.002139262,   1.235947986577262,-0.220435909,  0.9999992140030682,0.000985736,-0.000774802,-0.00122474,  0.9002440163450507,-0.435383981,0.000268337,  0.4353845878761004,  0.9002445160349127
9.1,0,0,  0.8033700606600044,4.328552470331563e-15,   1.274563722898007,-0.202545609,  0.9999992250161676,0.001033519,-0.000694122,-0.001218689,  0.9265899876055129,-0.37607115,0.00025449,  0.3760717042104773,  0.9265905290586903
